ID,Especialidade
59,ATENDIMENTO AO QUEIMADO
60,AUDITORIA MÉDICA
61,CARDIOLOGIA PEDIÁTRICA
62,CIRURGIA BARIÁTRICA
63,CIRURGIA CRÂNIO-MAXILO-FACIAL
64,CIRURGIA DO TRAUMA
65,CIRURGIA VIDEOLAPAROSCÓPICA
66,CITOPATOLOGIA
67,DENSITOMETRIA ÓSSEA
68,DOR
69,ECOCARDIOGRAFIA
70,ECOGRAFIA VASCULAR COM DOPPLER
71,ELETROFISIOLOGIA CLÍNICA INVASIVA
72,EMERGÊNCIA PEDIÁTRICA
73,ENDOCRINOLOGIA PEDIÁTRICA
74,ENDOSCOPIA DIGESTIVA
75,ENDOSCOPIA GINECOLÓGICA
76,ENDOSCOPIA RESPIRATÓRIA
77,ERGOMETRIA
78,ESTIMULAÇÃO CARDÍACA ELETRÔNICA IMPLANTÁVEL
79,FONIATRIA
80,GASTROENTEROLOGIA PEDIÁTRICA
81,HANSENOLOGIA
82,HEMATOLOGIA E HEMOTERAPIA PEDIÁTRICA
83,HEMODINÂMICA E CARDIOLOGIA INTERVENCIONISTA
84,HEPATOLOGIA
85,INFECTOLOGIA HOSPITALAR
86,INFECTOLOGIA PEDIÁTRICA
87,MAMOGRAFIA
88,MEDICINA AEROESPACIAL
89,MEDICINA DO ADOLESCENTE
90,MEDICINA DO SONO
91,MEDICINA FETAL
92,MEDICINA INTENSIVA PEDIÁTRICA
93,MEDICINA PALIATIVA
94,MEDICINA TROPICAL
95,NEFROLOGIA PEDIÁTRICA
96,NEONATOLOGIA
97,NEUROFISIOLOGIA CLÍNICA
98,NEUROLOGIA PEDIÁTRICA
99,NEURORRADIOLOGIA
100,NUTRIÇÃO PARENTERAL E ENTERAL
101,NUTRIÇÃO PARENTERAL E ENTERAL PEDIÁTRICA
102,NUTROLOGIA PEDIÁTRICA
103,ONCOLOGIA PEDIÁTRICA
104,PNEUMOLOGIA PEDIÁTRICA
105,PSICOGERIATRIA
106,PSICOTERAPIA
107,PSIQUIATRIA DA INFÂNCIA E ADOLESCÊNCIA
108,PSIQUIATRIA FORENSE
109,RADIOLOGIA INTERVENCIONISTA E ANGIORRADIOLOGIA
110,REPRODUÇÃO ASSISTIDA
111,REUMATOLOGIA PEDIÁTRICA
112,SEXOLOGIA
113,TOXICOLOGIA MÉDICA
114,TRANSPLANTE DE MEDULA ÓSSEA
115,ULTRASSONOGRAFIA EM GINECOLOGIA E OBSTETRÍCIA
116,ULTRASSONOGRAFIA GERAL
117,CLÍNICO GERAL
118,OBSTETRÍCIA
119,ADMINISTRAÇÃO HOSPITALAR
120,ALERGIA E IMUNOPATOLOGIA
121,ANATOMIA E IMUNOPATOLOGIA
122,ANATOMIA PATOLÓGICA
123,ANGIOLOGIA E CIRUGIA VASCULAR
124,BRONCOESOFAGOLOGIA
125,CANCEROLOGIA
126,CANCEROLOGIA/CANCEROLOGIA CIRÚRGICA
127,CANCEROLOGIA/CANCEROLOGIA PEDIÁTRICA
128,CIRURGIA VASCULAR PERIFÉRICA
129,DIAGNÓSTICO POR IMAGEM
130,DOENÇAS INFECCIOSAS E PARASITÁRIAS
131,ELETROENCEFALOGRAFIA
132,ENDOCRINOLOGIA
133,FISIATRIA
134,GENÉTICA CLÍNICA
135,GERIATRIA E GERONTOLOGIA
136,GINECOLOGIA
137,HEMATOLOGIA
138,HEMOTERAPIA
139,MEDICINA GERAL COMUNITÁRIA
140,MEDICINA INTERNA OU CLÍNICA MÉDICA
141,MEDICINA LEGAL
142,MEDICINA SANITÁRIA
143,ONCOLOGIA
144,PATOLOGIA CLÍNICA
145,PNEUMOLOGIA E TISIOLOGIA
146,PROCTOLOGIA
147,PSIQUIATRIA INFANTIL
148,RADIODIAGNÓSTICO
149,RADIOLOGIA
150,TERAPIA INTENSIVA
151,TERAPIA INTENSIVA PEDIÁTRICA
152,TISIOLOGIA
153,ULTRASSONOGRAFIA
154,ANGIOLOGIA E CIRURGIA VASCULAR
155,CIRURGIA GASTROENTEROLÓGICA
156,MEDICINA DO ESPORTE
157,NEUROPEDIATRIA
